model,skew,girderName,L,D,w_oh,ts,S,Nb,Kg,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
Tx84-L_210-Nb_6-S_120-O_60-ts_100,0,Tx84,210,84,6,10,12,6,8321965.338399999,0.5883978835974129,0.3333215419498467,0.14061195767184517,0.028077154,1.0082349702372886,0.026837818545365433,0.082936579,-0.031967434,0.000145019,1.3227734565734863,0.7182178497314453,0.3065672516822815,0.065380909
Tx28-L_42-Nb_7-S_60-O_15-ts_85,0,Tx28,42,28,1.5,8.5,6,7,555508.7064,0.5416531557062938,0.2891568877548707,0.093040432,0.017330301044014857,0.9244329427075938,0.088553525,0.016288738,-0.015502617,3.467842556403866e-05,0.036531866,0.0164437,0.005129724,0.000811035
Tx28-L_42-Nb_7-S_60-O_15-ts_100,0,Tx28,42,28,1.5,10,6,7,588747.3095,0.5219556878302702,0.2935361158349882,0.10341502503771016,0.022551823507162606,0.9213582589278343,0.093794323,0.020377918,-0.015632417,3.423305964389556e-05,0.031660799,0.015062936,0.005190764,0.001037914
Tx28-L_42-Nb_7-S_60-O_20-ts_85,0,Tx28,42,28,2,8.5,6,7,555508.7064,0.5747246315188146,0.27568202003001374,0.081332896,0.012746238,0.992382068,0.024759684244771856,0.015285476,-0.019452579,3.595253444643731e-05,0.037190206,0.015573176,0.004495856,0.000554143
Tx28-L_42-Nb_7-S_60-O_20-ts_100,0,Tx28,42,28,2,10,6,7,588747.3095,0.5528092403623694,0.282684547,0.09234584,0.017490919371206715,0.9891201636896849,0.03204809,0.018166936965201243,-0.019897471,3.573986509053384e-05,0.032173708,0.014421249,0.004651425,0.00078498
Tx28-L_42-Nb_7-S_60-O_25-ts_85,0,Tx28,42,28,2.5,8.5,6,7,555508.7064,0.6074602702187127,0.2622795020783994,0.06965426,0.008164474,1.0597446986598664,-0.037894973,0.013735636393218177,-0.023391366,3.531309582172071e-05,0.037923981,0.014718389,0.003864257,0.000297368
Tx28-L_42-Nb_7-S_60-O_25-ts_100,0,Tx28,42,28,2.5,10,6,7,588747.3095,0.5833021541945447,0.271947279,0.081280724,0.012389108855337783,1.0559488467253457,-0.027955546,0.015210864839087531,-0.024187573,3.0767407196208296e-05,0.032769293,0.013797124,0.004112678,0.00052974
Tx28-L_42-Nb_7-S_60-O_30-ts_85,0,Tx28,42,28,3,8.5,6,7,555508.7064,0.6393809051393221,0.2492409769461347,0.058205375,0.003684118,1.127001860118146,-0.100458043,0.012204799107133093,-0.027324855,3.3499922516000424e-05,0.038695931,0.01388966,0.003246243,4.621147672878578e-05
Tx28-L_42-Nb_7-S_60-O_30-ts_100,0,Tx28,42,28,3,10,6,7,588747.3095,0.6128902588808399,0.26159389172314673,0.070451436,0.007383675,1.1226090029752922,-0.087756016,0.012232520693814619,-0.028470302,2.8375592016516293e-05,0.033403955,0.013197408,0.003586127,0.00027917
Tx28-L_42-Nb_7-S_90-O_15-ts_85,0,Tx28,42,28,1.5,8.5,9,7,555508.7064,0.6688020597122389,0.2441248582764487,0.025115628543063807,2.7971171107309443e-05,0.954636161,0.072148996,-0.014422401,-0.010167673,3.37476394278724e-05,0.041541278,0.011921732,0.000987834,-3.12E-35
Tx28-L_42-Nb_7-S_90-O_15-ts_100,0,Tx28,42,28,1.5,10,9,7,588747.3095,0.6462373393796794,0.2573802910050851,0.034832495,0.000118045,0.9539572172611416,0.076254511,-0.012318271,-0.013680843,3.0677761806430226e-05,0.036075644,0.011409154,0.001389395,-4.19E-35
Tx28-L_42-Nb_7-S_90-O_21-ts_85,0,Tx28,42,28,2.1666666666666665,8.5,9,7,555508.7064,0.7113849206343515,0.21382270408146156,0.015112510629239611,5.547878873767292e-06,1.0206141183027548,0.003763499,-0.012030762,-0.010869261,3.0340637955816874e-05,0.042307615,0.010308915,0.00052467,-3.33E-35
Tx28-L_42-Nb_7-S_90-O_21-ts_100,0,Tx28,42,28,2.1666666666666665,10,9,7,588747.3095,0.686286754,0.23157572751304223,0.023680049189795868,8.48376677059034e-05,1.0214199218741828,0.007844545,-0.011083079,-0.014906705,3.3882107523197647e-05,0.036708247,0.010160488,0.000921736,-4.56E-35
Tx28-L_42-Nb_7-S_90-O_28-ts_85,0,Tx28,42,28,2.8333333333333335,8.5,9,7,555508.7064,0.7533464663637208,0.18385734363175013,0.005253108,-1.69E-05,1.086419456844369,-0.064224912,-0.009882826,-0.011545469,3.276916957162257e-05,0.043190338,0.008721877,6.859833229100332e-05,-3.54E-35
Tx28-L_42-Nb_7-S_90-O_28-ts_100,0,Tx28,42,28,2.8333333333333335,10,9,7,588747.3095,0.7257899187446952,0.20606143707466507,0.012601837088992185,5.1104556405854805e-05,1.0885115327372243,-0.059773728,-0.010288214,-0.016102119,3.259560086377178e-05,0.037465248,0.008934156,0.000455389,-4.93E-35
